,yc_url,company_name,batch,sector,one_liner,overall_signal,founder_worked_in_target_industry,founder_held_target_function,founder_has_prior_exit,founder_is_repeat_yc,founder_from_top_co,domain_relevance_score,has_technical_cofounder,has_commercial_cofounder,has_domain_expert,is_solo_founder,team_completeness_score,one_line_risk,one_line_strength,website,has_live_product,has_paying_customers,has_user_evidence,has_public_iteration,has_specific_user_problem,has_beachhead_segment,product_maturity_score,user_understanding_score,sources_with_evidence,strongest_evidence,biggest_product_gap
13,https://www.ycombinator.com/companies/canary,Canary,W26,B2B Software,AI QA engineer that reads source code to catch bugs,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Highly competitive AI tooling space with many well-funded players,Deep technical expertise from top AI companies building exactly what they know,https://www.runcanary.ai,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,7,2,"Company website has auth flow, pricing page, and is not waitlist-only, indicating a live product with paid tiers.","No external user validation found - no reviews, testimonials, or third-party evidence that real users are actively using the AI QA testing product."
14,https://www.ycombinator.com/companies/grade,Grade,W26,B2B,API for performance-based payroll,STRONG,TRUE,TRUE,TRUE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Performance-based payroll is complex regulatory minefield with compliance challenges,Perfect founder-market fit with prior exits and direct payments experience,https://usegrade.com,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,8,1,"Company website shows live product with auth flow, pricing page, and claims of 1,600+ contractors paid with $1M+ paid out across 190+ countries.","No external validation from actual users - all evidence comes from company's own website with no third-party reviews, testimonials, or user feedback found."
15,https://www.ycombinator.com/companies/beesafe-ai,BeeSafe AI,W26,Cybersecurity,AI agents that defend against social engineering attacks,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for enterprise sales execution,Deep ML/security expertise with Google pedigree targeting real problem,https://beesafe.ai/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,6,1,Website shows a clear fraud prevention platform concept with specific use case examples of stopping payment fraud and identifying mule accounts.,"No live product available - only early access requests with no authentication flow, and the GitHub repo appears unrelated to the fraud prevention product described."
16,https://www.ycombinator.com/companies/fed10,Fed10,W26,B2B,AI agents that replace your policy consultants,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Regulatory/compliance market may be too niche for massive scale,Three ex-lobbyists who actually passed legislation building AI replacement,https://www.fed10.ai,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,7,2,"Company website has a pricing page and is not waitlist-only, indicating a live product with paid tiers.","No external user validation found - no reviews, testimonials, or third-party evidence that real customers are using the product."
17,https://www.ycombinator.com/companies/squid,Squid,W26,Energy/Infrastructure,AI agents for power grid planning,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Highly regulated industry with long sales cycles and entrenched incumbents,Deep domain expertise from National Grid and Octopus Energy insiders,https://squid.energy,TRUE,FALSE,TRUE,FALSE,TRUE,TRUE,6,8,2,"Website shows live product with auth flow and customer testimonials from named energy industry professionals like Doerte Schneemann, Head of Flexibility Markets.","No evidence of pricing tiers or paying customers despite having a pricing page, and no documentation or changelog showing product iteration."
18,https://www.ycombinator.com/companies/corelayer,Corelayer,W26,B2B,"AI on-call engineer for data-heavy, regulated industries",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for enterprise sales in regulated industries,Perfect founder-market fit with deep Goldman Sachs data infrastructure experience,https://www.corelayer.com,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,8,3,"Company website has authentication flow, pricing page, and documentation, indicating a live product with paying customers.","No external user validation found - no reviews, ratings, or third-party evidence that real users are actively using the product."
19,https://www.ycombinator.com/companies/sequence-markets,Sequence Markets,W26,Fintech,"Low-latency execution across crypto, prediction, and tokenized assets",STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Highly competitive space with established players and regulatory uncertainty,Founder with direct trading experience at $13B fund and exchange,https://sequencemkts.com/,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,7,1,Website shows social proof and describes trading fragmented markets as one unified market.,"No evidence of a live product - no auth flow, pricing, documentation, or user access points despite having a website."
20,https://www.ycombinator.com/companies/ditto-biosciences,Ditto Biosciences,W26,Biotech,AI-powered drug discovery using parasite biology for autoimmune diseases,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Long drug development timelines and regulatory approval challenges,Deep scientific expertise with novel approach to autoimmune therapeutics,https://www.dittobio.com/,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,2,7,1,Company website describes a specific approach to drug discovery using parasite biology for autoimmune diseases with Y Combinator backing.,"No evidence of any live product, user interface, or customer interaction beyond a marketing website - appears to be in early research stage."
21,https://www.ycombinator.com/companies/servo7,Servo7,W26,Robotics,Robots that 10x manual industry work,STRONG,TRUE,TRUE,TRUE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Robotics hardware is notoriously difficult to scale and deploy reliably,Exceptional technical founders with direct robotics deployment experience at Boeing,https://servo7.com,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,4,3,1,Website has auth flow and pricing page indicating a live product with commercial intent.,No external user validation or evidence that the robots actually exist and work in real industrial settings.
22,https://www.ycombinator.com/companies/constellation-space,Constellation Space,W26,Space Tech,AI operating system for mega-scale satellite networks,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise in highly technical space industry,"Deep satellite systems expertise from SpaceX, Blue Origin, NASA",https://constellationspace.ai/,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4,8,2,"Website has authentication flow and demo capabilities for AI-powered satellite network management with specific technical claims (3-5 minute advance warning, >90% accuracy).","No evidence of paying customers, external user validation, or product iteration despite having a live product with demo capabilities."
23,https://www.ycombinator.com/companies/congruent,Congruent,W26,Automotive/Hardware,AI native radars for self-driving cars,STRONG,TRUE,TRUE,FALSE,FALSE,FALSE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for complex automotive sales cycles,Deep autonomy expertise with ex-head of autonomy at Zendar,https://congruent.io,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,3,7,1,Company website shows a live product with demo booking capability and auth flow for AI radar technology for autonomous vehicles.,"No external validation from users, customers, or third-party sources - only company's own marketing claims with no pricing or customer evidence."
24,https://www.ycombinator.com/companies/usereframe,Reframe,W26,B2B,AI-native hardware procurement marketplace automating component sourcing,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/sales expertise for complex B2B procurement sales cycles,Apple hardware engineer who lived the exact procurement pain they're solving,http://usereframe.ai,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,1,7,0,Company website exists with clear value proposition for hardware procurement automation.,"No evidence of an actual live product - website appears to be a landing page only with no signup flow, pricing, or product access."
25,https://www.ycombinator.com/companies/approxima,Approxima,W26,Enterprise Software,"AI agents that automatically code, test, and deploy software fixes",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for enterprise sales execution,"Elite technical founders from Jane Street, Citadel, Databricks building dev tools",https://approxima.ai,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,2,6,1,Company website has a pricing page indicating they have structured their offering for paid customers.,"No evidence of a live, usable product - no auth flow, no documentation, and the GitHub repo found appears to be unrelated to the company's stated mission of AI agents for software fixes."
26,https://www.ycombinator.com/companies/maywood,Maywood,W26,Fintech,Automating the entire IB deal workflow,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Selling to conservative investment banks with long sales cycles,Perfect founder-market fit with ex-Blackstone CEO and strong technical team,https://maywoodai.com/,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,7,2,"Company website has auth flow, pricing page, and social proof indicating a live product with paying customers.","No external user validation found - no reviews, ratings, or third-party evidence of actual users despite claims of automating IB deal workflows."
27,https://www.ycombinator.com/companies/chamber,Chamber,W26,B2B,AIOps agent for ML teams that automates infrastructure monitoring and optimization,STRONG,TRUE,TRUE,TRUE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Competitive market with established players like DataDog and New Relic,Exceptional founder-market fit with deep ML infrastructure experience at top companies,https://www.usechamber.io,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,8,2,"Company website shows auth flow, pricing page, and documentation indicating a live product with paid tiers.","No external user validation found - no reviews, testimonials, or third-party evidence of actual users despite having a live product."
28,https://www.ycombinator.com/companies/visibl-semiconductors,Visibl Semiconductors,W26,B2B Software,AI platform that turns compute into chip design capacity,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Semiconductor industry adoption cycles are notoriously slow and conservative,"CTO designed AI silicon at Microsoft, perfect domain expertise",https://visiblsemi.com,FALSE,TRUE,FALSE,TRUE,TRUE,TRUE,3,7,2,"Company has a pricing page and documentation, indicating they have structured their offering for customers.","No evidence of a live, usable product - website shows only a loading page with no signup flow or demo access."
29,https://www.ycombinator.com/companies/terminal-use,Terminal Use,W26,Developer Tools,Vercel for background agents - orchestration platform for AI agents,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise in technical founding team,Deep domain expertise from building largest agent use cases at Palantir,https://www.terminaluse.com/,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,7,1,"Company website shows auth flow, pricing page, and documentation with specific deployment commands for Claude Agent SDK and Codex agents.",No external user validation or evidence of real customers using the platform despite having pricing and authentication.
30,https://www.ycombinator.com/companies/overshoot,Overshoot,W26,AI Infrastructure,AI infrastructure for real-time vision applications,STRONG,TRUE,TRUE,TRUE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise in technical founding team,Deep technical expertise in exact domain from Meta/Uber/Intel,https://overshoot.ai,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4,7,2,"Company website has a playground and documentation for their real-time vision API, indicating a functional product developers can test.","No evidence of actual users, customers, or external validation despite having documentation and a playground available."
31,https://www.ycombinator.com/companies/proximitty,Proximitty,W26,Fintech,Autonomous business loan servicing using AI agents,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Early stage with limited proven scale despite impressive early traction,Perfect founder-market fit with deep fintech experience and strong technical execution,https://proximitty.ai,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,8,2,"Website has auth flow, pricing page, and detailed product description for autonomous commercial loan servicing with specific features like covenant monitoring and financial spreading.",No external user validation or evidence of actual customers using the product despite having pricing and demo booking capabilities.
32,https://www.ycombinator.com/companies/brownie,IncidentFox,W26,AIOps,"AI SRE agent that triages, coordinates, and fixes production incidents",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise for enterprise sales motion,Perfect founder-market fit with ex-Roblox SRE building SRE tools,https://incidentfox.ai,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4,8,4,"Active GitHub repository with 491 stars and recent commits (last push March 3, 2026) showing a live, open-source AI-powered SRE platform.",No evidence of paying customers or external user validation despite having a live product and GitHub presence.
33,https://www.ycombinator.com/companies/compresr,Compresr,W26,AI/ML Infrastructure,LLM context compression API for better accuracy and lower costs,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Heavily technical team lacks commercial/GTM experience for enterprise sales,Deep ML research expertise with PhD-level domain knowledge in exact problem,https://compresr.ai,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,7,8,3,"Live product with authentication flow, pricing page, pip installable package, and 97-point Show HN post with 64 comments indicating real user engagement.",Limited GitHub activity (only 4 stars on VSCode extension) and no app store reviews suggest early adoption phase with small user base.
34,https://www.ycombinator.com/companies/opalite-health,Opalite Health,W26,Healthcare,AI medical interpreter for healthcare providers to communicate with non-English patients,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for healthcare sales and GTM strategy,Physician founder with 200+ publications building exactly what she needs,http://opalitehealth.com/,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4,8,1,"Website has authentication flow and demo booking functionality, indicating a functional product beyond just a landing page.","No external validation from actual users or customers, and no pricing information suggests they may not have paying customers yet."
35,https://www.ycombinator.com/companies/sponge,Sponge,W26,Fintech,Financial infrastructure for autonomous AI agents to hold and spend money,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Very early market - AI agents making autonomous payments still nascent,Three ex-Stripe Crypto founders building payments infrastructure for emerging AI economy,https://paysponge.com/,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4,7,2,"The company website shows a live product with wallet functionality and a 'Launch Wallet' feature, indicating an operational financial infrastructure for AI agents.",No evidence of actual paying customers or external user validation despite having a pricing page and live product functionality.
36,https://www.ycombinator.com/companies/ventura,Ventura,W26,B2B,AI Teammates for Industrial Distributors,STRONG,TRUE,TRUE,TRUE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,10.0,Narrow market focus may limit scalability beyond industrial distribution,Perfect founder-market fit with prior exit in exact same industry,https://www.ventura.ai,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,4,8,1,Company website shows an auth flow and pricing page for AI quoting and order entry automation for industrial distributors.,No external user validation or evidence of paying customers despite having a pricing page and specific problem articulation.
37,https://www.ycombinator.com/companies/arcline,Arcline,W26,Legal Tech,AI-native legal services for startups with same-day turnaround,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Regulatory challenges and lawyer resistance to AI disruption,"Founder was outside counsel to OpenAI, perfect domain expertise",https://www.arcline-ai.com/,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,6,8,3,"Website has auth flow, pricing page, and claims same-day legal service turnaround with AI-native approach.",No external user validation - only 1 app store review and no independent testimonials or reviews from actual legal service customers.
38,https://www.ycombinator.com/companies/beyond-reach-labs,Beyond Reach Labs,W26,Aerospace,Space solar arrays that grow to the size of a football field in orbit,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for complex aerospace sales cycles,PhD founder with NASA experience building exactly what they're selling,https://www.beyondreachlabs.com,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,6,1,Company website describes a specific technical solution (deployable solar arrays that deliver orders-of-magnitude more energy per launch) addressing the fundamental power bottleneck in space.,"No evidence of a live product, customers, or user validation - appears to be in early concept/development stage with only a waitlist-only website."
39,https://www.ycombinator.com/companies/robodock,RoboDock,W26,Robotics,Robots that automate depot operations for autonomous vehicle fleets,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for complex B2B fleet sales,"Deep robotics expertise from Amazon, Zipline, Plus in exact domain",https://www.robodock.tech/,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,4,8,2,"Company website has auth flow, pricing page, and demo booking functionality indicating a live product with commercial intent.","No external user validation found - no reviews, testimonials, or third-party evidence that customers are actually using the product."
40,https://www.ycombinator.com/companies/mousecat,MouseCat,W26,Fintech,AI-powered fraud investigations for companies,STRONG,TRUE,TRUE,TRUE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise on founding team,Deep fraud/risk domain expertise from Coinbase + AWS AI experience,https://www.mousecat.ai,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,8,2,"Website has authentication flow, pricing page, and demo booking functionality indicating a live product with commercial intent.",No external user validation or evidence of actual customers despite having pricing and demo capabilities.
41,https://www.ycombinator.com/companies/palus-finance,Palus Finance,W26,Fintech,"40% higher yields on company cash, in under 5 minutes",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for sales and customer acquisition,Deep financial expertise with technical execution capability,https://palus.finance,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,3,7,2,HackerNews Launch post with 62 points and 93 comments shows community engagement and validation of the problem space.,"No evidence of a live product with auth flow, pricing, or actual customer access despite claiming '5 minute' setup time."
42,https://www.ycombinator.com/companies/21st,21st,W26,Developer Tools,Infrastructure and UI building blocks for the agentic internet,STRONG,TRUE,TRUE,TRUE,FALSE,FALSE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/GTM expertise in competitive developer tools market,Proven product-market fit with 1.4M developers already using their platform,https://21st.dev,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,6,3,2,"Company website shows live product with authentication flow, pricing page, documentation, and SDK for building AI agents.",No external user validation found and the problem statement is too generic ('infrastructure for agentic internet') without specific user personas or workflows identified.
43,https://www.ycombinator.com/companies/kyten-technologies,Kyten Technologies,W26,Aerospace,"Custom aerospace-grade battery packs for drones, submarines, and satellites",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial/sales expertise for scaling manufacturing business,Deep SpaceX/Starlink experience with exact product they're building,https://kytentech.com,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,6,8,2,"Company website has authentication flow and pricing page, indicating a live product with commercial offerings for aerospace battery packs.","No external user validation found - no reviews, testimonials, or third-party evidence that customers are actually using the product."
44,https://www.ycombinator.com/companies/pirislabs,Piris Labs,W26,AI Infrastructure,"Photonic hardware for faster, cheaper AI inference",STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Photonic hardware is extremely difficult to manufacture and scale,Deep technical expertise from MIT/Meta solving critical AI infrastructure bottleneck,https://pirislabs.io/,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,2,6,1,GitHub repository exists with Java code and recent commit activity as of March 2024.,"No evidence of a live product, users, or any external validation despite being a hardware company that would require significant development and manufacturing."
45,https://www.ycombinator.com/companies/celltype,CellType,W26,Biotech,AI agents that run drug discovery pipeline on biological foundation models,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,FALSE,TRUE,FALSE,7.0,Missing commercial cofounder for pharma sales and partnerships,Yale professor with Google DeepMind collaboration and proven cancer discovery,https://www.celltype.com,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,4,7,1,"Active GitHub repository with 216 stars and recent commits (last push March 12, 2026) shows a live product being developed.",No evidence of paying customers or external user validation despite having an active open-source repository.
46,https://www.ycombinator.com/companies/beacon-health,Beacon Health,W26,Healthcare,AI employees that automate workflows for primary care practices,STRONG,TRUE,TRUE,FALSE,FALSE,TRUE,9.0,TRUE,TRUE,TRUE,FALSE,9.0,Healthcare AI regulation and EHR integration complexity,Founder embedded 6 months in target practice doing exact workflows,https://www.beaconhealth.ai/,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,7,8,2,"Website shows authentication flow, pricing page, and testimonials from real practices like Metrowest Healthcare Alliance with documented results.","No evidence of public iteration or product development transparency through changelogs, version history, or development activity."
